rid,Affiliation,Predictibility,Competence,Control,Self-image,Survival,Physical comfort,Morality,Distress tolerance,No Idea
rid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
56.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
39.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
72.0,X,NA,NA,NA,NA,X,NA,NA,NA,NA
103.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
69.0,X,NA,X,NA,NA,NA,NA,NA,NA,NA
148,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
110.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
74.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
139.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
93.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
140.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
47.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
109.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
52.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
165.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
87.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
50.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
146.0,NA,NA,NA,NA,NA,NA,NA,X,NA,NA
46.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
81.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
75.0,X,NA,NA,NA,NA,NA,X,NA,NA,NA
60.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
97.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
133.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
108.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
125.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
22.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
55.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
107.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
76.0,NA,X,NA,NA,NA,NA,NA,NA,NA,NA
111.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
89.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
6.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
