rid,Affiliation,Predictibility,Competence,Control,Self-image,Survival,Physical comfort,Morality,Distress tolerance,No Idea
40.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
62.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
32.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
112.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
83.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,X,NA,NA
76.0,X,NA,NA,X,NA,NA,NA,NA,NA,NA
146.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
43.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
42.0,NA,X,NA,NA,NA,NA,NA,NA,NA,NA
127.0,NA,NA,NA,NA,NA,NA,NA,X,NA,NA
25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
66.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
114.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
122.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
124.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
70.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
15.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
92.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.0,NA,NA,NA,NA,NA,NA,NA,X,NA,NA
28.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
37.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
128.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
147.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
133.0,NA,NA,NA,NA,NA,NA,NA,X,NA,NA
105.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
87.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
